Home Team,Away Team,Home Score,Away Score
Orlando Magic,Miami Heat,113,107
Washington Wizards,Orlando Magic,120,130
Washington Wizards,Orlando Magic,113,120
Oklahoma City Thunder,Orlando Magic,107,118
Orlando Magic,Philadelphia 76ers,92,116
Orlando Magic,Oklahoma City Thunder,99,108
Orlando Magic,Cleveland Cavaliers,103,83
Orlando Magic,Cleveland Cavaliers,105,94
Houston Rockets,Orlando Magic,132,90
Dallas Mavericks,Orlando Magic,112,98
Orlando Magic,Milwaukee Bucks,99,121
Boston Celtics,Orlando Magic,124,97
Brooklyn Nets,Orlando Magic,122,115
New York Knicks,Orlando Magic,91,84
Minnesota Timberwolves,Orlando Magic,96,97
Indiana Pacers,Orlando Magic,120,118
Orlando Magic,Charlotte Hornets,104,107
Orlando Magic,Charlotte Hornets,117,108
Orlando Magic,Sacramento Kings,107,121
Orlando Magic,LA Clippers,90,116
Toronto Raptors,Orlando Magic,115,102
Orlando Magic,Toronto Raptors,108,123
Orlando Magic,Chicago Bulls,123,119
Orlando Magic,Chicago Bulls,92,118
Portland Trail Blazers,Orlando Magic,106,97
Golden State Warriors,Orlando Magic,111,105
Sacramento Kings,Orlando Magic,112,123
Phoenix Suns,Orlando Magic,109,90
Orlando Magic,New York Knicks,107,89
Orlando Magic,Golden State Warriors,124,120
Orlando Magic,Detroit Pistons,105,96
Orlando Magic,Detroit Pistons,93,105
Brooklyn Nets,Orlando Magic,129,92
Orlando Magic,Utah Jazz,109,124
Orlando Magic,Dallas Mavericks,124,130
Orlando Magic,Atlanta Hawks,112,115
Miami Heat,Orlando Magic,111,103
San Antonio Spurs,Orlando Magic,104,77
Orlando Magic,Miami Heat,97,102
New York Knicks,Orlando Magic,94,93
Orlando Magic,Brooklyn Nets,121,113
Boston Celtics,Orlando Magic,112,96
Orlando Magic,Denver Nuggets,99,110
Orlando Magic,Phoenix Suns,112,111
Orlando Magic,Portland Trail Blazers,105,112
Los Angeles Lakers,Orlando Magic,96,93
LA Clippers,Orlando Magic,96,103
New Orleans Pelicans,Orlando Magic,110,115
Utah Jazz,Orlando Magic,137,91
Denver Nuggets,Orlando Magic,119,109
Orlando Magic,Washington Wizards,116,131
Orlando Magic,Indiana Pacers,106,111
Orlando Magic,Milwaukee Bucks,87,124
Orlando Magic,San Antonio Spurs,97,120
Chicago Bulls,Orlando Magic,106,115
Toronto Raptors,Orlando Magic,113,102
Orlando Magic,Houston Rockets,110,114
Atlanta Hawks,Orlando Magic,112,96
Orlando Magic,New Orleans Pelicans,100,135
Orlando Magic,Indiana Pacers,112,131
Orlando Magic,Los Angeles Lakers,103,114
Cleveland Cavaliers,Orlando Magic,104,109
Memphis Grizzlies,Orlando Magic,92,75
Orlando Magic,Memphis Grizzlies,112,111
Detroit Pistons,Orlando Magic,112,119
Orlando Magic,Boston Celtics,96,132
Charlotte Hornets,Orlando Magic,122,112
Orlando Magic,Minnesota Timberwolves,96,128
Milwaukee Bucks,Orlando Magic,114,102
Atlanta Hawks,Orlando Magic,116,93
Philadelphia 76ers,Orlando Magic,122,97
Philadelphia 76ers,Orlando Magic,128,117
