Home Team,Away Team,Home Score,Away Score
Boston Celtics,Milwaukee Bucks,122,121
Milwaukee Bucks,Golden State Warriors,138,99
New York Knicks,Milwaukee Bucks,130,110
Miami Heat,Milwaukee Bucks,97,114
Miami Heat,Milwaukee Bucks,119,108
Milwaukee Bucks,Chicago Bulls,126,96
Milwaukee Bucks,Detroit Pistons,125,115
Milwaukee Bucks,Detroit Pistons,130,115
Milwaukee Bucks,Utah Jazz,118,131
Milwaukee Bucks,Cleveland Cavaliers,100,90
Orlando Magic,Milwaukee Bucks,99,121
Detroit Pistons,Milwaukee Bucks,101,110
Milwaukee Bucks,Dallas Mavericks,112,109
Brooklyn Nets,Milwaukee Bucks,125,123
Milwaukee Bucks,Los Angeles Lakers,106,113
Milwaukee Bucks,Atlanta Hawks,129,115
Toronto Raptors,Milwaukee Bucks,108,115
New Orleans Pelicans,Milwaukee Bucks,131,126
Charlotte Hornets,Milwaukee Bucks,126,114
Milwaukee Bucks,Portland Trail Blazers,134,106
Milwaukee Bucks,Indiana Pacers,130,110
Cleveland Cavaliers,Milwaukee Bucks,105,123
Cleveland Cavaliers,Milwaukee Bucks,99,124
Denver Nuggets,Milwaukee Bucks,112,125
Phoenix Suns,Milwaukee Bucks,125,124
Utah Jazz,Milwaukee Bucks,129,115
Oklahoma City Thunder,Milwaukee Bucks,114,109
Milwaukee Bucks,Toronto Raptors,113,124
Milwaukee Bucks,Toronto Raptors,96,110
Milwaukee Bucks,Oklahoma City Thunder,98,85
Milwaukee Bucks,Sacramento Kings,128,115
Milwaukee Bucks,Minnesota Timberwolves,139,112
Milwaukee Bucks,New Orleans Pelicans,129,125
Milwaukee Bucks,LA Clippers,105,100
Milwaukee Bucks,Denver Nuggets,97,128
Memphis Grizzlies,Milwaukee Bucks,111,112
Milwaukee Bucks,New York Knicks,134,101
Washington Wizards,Milwaukee Bucks,119,125
Washington Wizards,Milwaukee Bucks,122,133
Philadelphia 76ers,Milwaukee Bucks,105,109
Milwaukee Bucks,San Antonio Spurs,120,113
Milwaukee Bucks,Indiana Pacers,140,113
Milwaukee Bucks,Boston Celtics,121,119
Milwaukee Bucks,Boston Celtics,114,122
Milwaukee Bucks,New York Knicks,96,102
LA Clippers,Milwaukee Bucks,129,105
Los Angeles Lakers,Milwaukee Bucks,97,112
Portland Trail Blazers,Milwaukee Bucks,109,127
Sacramento Kings,Milwaukee Bucks,128,129
Golden State Warriors,Milwaukee Bucks,122,121
Dallas Mavericks,Milwaukee Bucks,116,101
Milwaukee Bucks,Charlotte Hornets,119,127
Orlando Magic,Milwaukee Bucks,87,124
Minnesota Timberwolves,Milwaukee Bucks,105,130
Atlanta Hawks,Milwaukee Bucks,109,120
Milwaukee Bucks,Memphis Grizzlies,115,128
Milwaukee Bucks,Phoenix Suns,127,128
Milwaukee Bucks,Philadelphia 76ers,124,117
Milwaukee Bucks,Philadelphia 76ers,132,94
Atlanta Hawks,Milwaukee Bucks,111,104
Charlotte Hornets,Milwaukee Bucks,104,114
Houston Rockets,Milwaukee Bucks,143,136
Chicago Bulls,Milwaukee Bucks,98,108
Milwaukee Bucks,Brooklyn Nets,117,114
Milwaukee Bucks,Brooklyn Nets,124,118
Milwaukee Bucks,Washington Wizards,135,134
Milwaukee Bucks,Houston Rockets,141,133
San Antonio Spurs,Milwaukee Bucks,146,125
Milwaukee Bucks,Orlando Magic,114,102
Indiana Pacers,Milwaukee Bucks,133,142
Milwaukee Bucks,Miami Heat,122,108
Chicago Bulls,Milwaukee Bucks,118,112
