Home Team,Away Team,Home Score,Away Score
Chicago Bulls,Atlanta Hawks,104,124
Memphis Grizzlies,Atlanta Hawks,112,122
Atlanta Hawks,Detroit Pistons,128,120
Brooklyn Nets,Atlanta Hawks,145,141
Brooklyn Nets,Atlanta Hawks,96,114
Atlanta Hawks,Cleveland Cavaliers,91,96
Atlanta Hawks,New York Knicks,108,113
Atlanta Hawks,Charlotte Hornets,94,102
Charlotte Hornets,Atlanta Hawks,113,105
Atlanta Hawks,Philadelphia 76ers,112,94
Utah Jazz,Atlanta Hawks,116,92
Portland Trail Blazers,Atlanta Hawks,112,106
Atlanta Hawks,Minnesota Timberwolves,108,97
Atlanta Hawks,Detroit Pistons,123,115
Minnesota Timberwolves,Atlanta Hawks,98,116
Milwaukee Bucks,Atlanta Hawks,129,115
Atlanta Hawks,LA Clippers,108,99
Atlanta Hawks,Brooklyn Nets,128,132
Washington Wizards,Atlanta Hawks,100,116
Atlanta Hawks,Los Angeles Lakers,99,107
Atlanta Hawks,Dallas Mavericks,116,122
Atlanta Hawks,Utah Jazz,91,112
Atlanta Hawks,Toronto Raptors,132,121
Dallas Mavericks,Atlanta Hawks,118,117
Atlanta Hawks,San Antonio Spurs,114,125
Atlanta Hawks,Indiana Pacers,113,125
New York Knicks,Atlanta Hawks,123,112
Boston Celtics,Atlanta Hawks,114,122
Boston Celtics,Atlanta Hawks,121,109
Atlanta Hawks,Denver Nuggets,123,115
Cleveland Cavaliers,Atlanta Hawks,112,111
Atlanta Hawks,Boston Celtics,127,112
Oklahoma City Thunder,Atlanta Hawks,118,109
Miami Heat,Atlanta Hawks,109,99
Miami Heat,Atlanta Hawks,80,94
Orlando Magic,Atlanta Hawks,112,115
Toronto Raptors,Atlanta Hawks,120,121
Atlanta Hawks,Sacramento Kings,121,106
Atlanta Hawks,Cleveland Cavaliers,100,82
Houston Rockets,Atlanta Hawks,107,119
Atlanta Hawks,Oklahoma City Thunder,116,93
Los Angeles Lakers,Atlanta Hawks,94,99
LA Clippers,Atlanta Hawks,119,110
Sacramento Kings,Atlanta Hawks,110,108
Golden State Warriors,Atlanta Hawks,108,124
Denver Nuggets,Atlanta Hawks,126,102
Phoenix Suns,Atlanta Hawks,117,110
San Antonio Spurs,Atlanta Hawks,129,134
New Orleans Pelicans,Atlanta Hawks,103,126
Atlanta Hawks,Golden State Warriors,117,111
Atlanta Hawks,New Orleans Pelicans,123,107
Atlanta Hawks,Memphis Grizzlies,113,131
Atlanta Hawks,Chicago Bulls,120,108
Charlotte Hornets,Atlanta Hawks,101,105
Toronto Raptors,Atlanta Hawks,103,108
Atlanta Hawks,Milwaukee Bucks,109,120
Atlanta Hawks,Indiana Pacers,129,117
Atlanta Hawks,Orlando Magic,112,96
New York Knicks,Atlanta Hawks,137,127
Atlanta Hawks,Miami Heat,118,103
Atlanta Hawks,Milwaukee Bucks,111,104
Detroit Pistons,Atlanta Hawks,100,86
Philadelphia 76ers,Atlanta Hawks,127,83
Philadelphia 76ers,Atlanta Hawks,126,104
Atlanta Hawks,Chicago Bulls,108,97
Atlanta Hawks,Portland Trail Blazers,123,114
Atlanta Hawks,Phoenix Suns,135,103
Indiana Pacers,Atlanta Hawks,133,126
Atlanta Hawks,Washington Wizards,125,124
Atlanta Hawks,Washington Wizards,120,116
Atlanta Hawks,Orlando Magic,116,93
Atlanta Hawks,Houston Rockets,124,95
