Home Team,Away Team,Home Score,Away Score
Brooklyn Nets,Golden State Warriors,125,99
Milwaukee Bucks,Golden State Warriors,138,99
Chicago Bulls,Golden State Warriors,128,129
Detroit Pistons,Golden State Warriors,106,116
Golden State Warriors,Portland Trail Blazers,98,123
Golden State Warriors,Portland Trail Blazers,137,122
Golden State Warriors,Sacramento Kings,137,106
Golden State Warriors,LA Clippers,101,108
Golden State Warriors,LA Clippers,115,105
Golden State Warriors,Toronto Raptors,106,105
Golden State Warriors,Indiana Pacers,95,104
Denver Nuggets,Golden State Warriors,114,104
Los Angeles Lakers,Golden State Warriors,113,115
Golden State Warriors,San Antonio Spurs,121,99
Golden State Warriors,New York Knicks,104,119
Utah Jazz,Golden State Warriors,127,108
Golden State Warriors,Minnesota Timberwolves,130,108
Golden State Warriors,Minnesota Timberwolves,123,111
Phoenix Suns,Golden State Warriors,114,93
Golden State Warriors,Detroit Pistons,118,91
Golden State Warriors,Boston Celtics,107,111
Dallas Mavericks,Golden State Warriors,116,147
Dallas Mavericks,Golden State Warriors,134,132
San Antonio Spurs,Golden State Warriors,105,100
San Antonio Spurs,Golden State Warriors,91,114
Golden State Warriors,Orlando Magic,111,105
Golden State Warriors,Brooklyn Nets,117,134
Golden State Warriors,Cleveland Cavaliers,129,98
Golden State Warriors,Miami Heat,120,112
Orlando Magic,Golden State Warriors,124,120
Charlotte Hornets,Golden State Warriors,102,100
New York Knicks,Golden State Warriors,106,114
Indiana Pacers,Golden State Warriors,107,111
Golden State Warriors,Charlotte Hornets,130,121
Los Angeles Lakers,Golden State Warriors,117,91
Portland Trail Blazers,Golden State Warriors,108,106
Phoenix Suns,Golden State Warriors,120,98
LA Clippers,Golden State Warriors,130,104
Golden State Warriors,Utah Jazz,131,119
Golden State Warriors,Los Angeles Lakers,97,128
Houston Rockets,Golden State Warriors,94,108
Memphis Grizzlies,Golden State Warriors,103,116
Memphis Grizzlies,Golden State Warriors,111,103
Golden State Warriors,Philadelphia 76ers,98,108
Sacramento Kings,Golden State Warriors,141,119
Golden State Warriors,Atlanta Hawks,108,124
Golden State Warriors,Chicago Bulls,116,102
Miami Heat,Golden State Warriors,116,109
Toronto Raptors,Golden State Warriors,130,77
Atlanta Hawks,Golden State Warriors,117,111
Golden State Warriors,Milwaukee Bucks,122,121
Golden State Warriors,Washington Wizards,107,110
Golden State Warriors,Houston Rockets,125,109
Golden State Warriors,Denver Nuggets,116,107
Oklahoma City Thunder,Golden State Warriors,109,147
Cleveland Cavaliers,Golden State Warriors,101,119
Boston Celtics,Golden State Warriors,119,114
Philadelphia 76ers,Golden State Warriors,96,107
Washington Wizards,Golden State Warriors,118,114
Golden State Warriors,Denver Nuggets,118,97
Golden State Warriors,Sacramento Kings,117,113
Golden State Warriors,Dallas Mavericks,103,133
Minnesota Timberwolves,Golden State Warriors,126,114
Houston Rockets,Golden State Warriors,87,113
New Orleans Pelicans,Golden State Warriors,108,123
New Orleans Pelicans,Golden State Warriors,108,103
Golden State Warriors,Oklahoma City Thunder,118,97
Golden State Warriors,Oklahoma City Thunder,136,97
Golden State Warriors,Utah Jazz,119,116
Golden State Warriors,Phoenix Suns,122,116
Golden State Warriors,New Orleans Pelicans,125,122
Golden State Warriors,Memphis Grizzlies,113,101
