Home Team,Away Team,Home Score,Away Score
Denver Nuggets,Sacramento Kings,122,124
Denver Nuggets,LA Clippers,108,121
Denver Nuggets,Houston Rockets,124,111
Sacramento Kings,Denver Nuggets,125,115
Denver Nuggets,Phoenix Suns,103,106
Minnesota Timberwolves,Denver Nuggets,109,124
Denver Nuggets,Minnesota Timberwolves,123,116
Denver Nuggets,Dallas Mavericks,117,124
Philadelphia 76ers,Denver Nuggets,103,115
New York Knicks,Denver Nuggets,89,114
Brooklyn Nets,Denver Nuggets,122,116
Denver Nuggets,Golden State Warriors,114,104
Denver Nuggets,Utah Jazz,105,109
Denver Nuggets,Oklahoma City Thunder,119,115
Phoenix Suns,Denver Nuggets,126,130
Phoenix Suns,Denver Nuggets,112,120
Dallas Mavericks,Denver Nuggets,113,117
Miami Heat,Denver Nuggets,82,109
San Antonio Spurs,Denver Nuggets,119,109
Denver Nuggets,Utah Jazz,128,117
Los Angeles Lakers,Denver Nuggets,114,93
Sacramento Kings,Denver Nuggets,119,114
Denver Nuggets,Milwaukee Bucks,112,125
Denver Nuggets,Cleveland Cavaliers,133,95
Denver Nuggets,Oklahoma City Thunder,97,95
Denver Nuggets,Los Angeles Lakers,122,105
Boston Celtics,Denver Nuggets,112,99
Washington Wizards,Denver Nuggets,130,128
Cleveland Cavaliers,Denver Nuggets,103,120
Atlanta Hawks,Denver Nuggets,123,115
Denver Nuggets,Portland Trail Blazers,111,106
Denver Nuggets,Washington Wizards,110,112
Oklahoma City Thunder,Denver Nuggets,96,126
Chicago Bulls,Denver Nuggets,112,118
Milwaukee Bucks,Denver Nuggets,97,128
Indiana Pacers,Denver Nuggets,103,113
Memphis Grizzlies,Denver Nuggets,102,103
Denver Nuggets,Dallas Mavericks,103,116
Denver Nuggets,Indiana Pacers,121,106
Denver Nuggets,Charlotte Hornets,129,104
Denver Nuggets,Chicago Bulls,131,127
Denver Nuggets,New Orleans Pelicans,108,113
Orlando Magic,Denver Nuggets,99,110
Toronto Raptors,Denver Nuggets,135,111
New Orleans Pelicans,Denver Nuggets,108,113
Denver Nuggets,Atlanta Hawks,126,102
Denver Nuggets,Philadelphia 76ers,104,95
LA Clippers,Denver Nuggets,94,101
Denver Nuggets,Orlando Magic,119,109
Denver Nuggets,Detroit Pistons,134,119
Denver Nuggets,San Antonio Spurs,106,96
Denver Nuggets,San Antonio Spurs,121,119
Denver Nuggets,Boston Celtics,87,105
Golden State Warriors,Denver Nuggets,116,107
Denver Nuggets,Miami Heat,123,106
Houston Rockets,Denver Nuggets,99,128
Denver Nuggets,Memphis Grizzlies,139,137
Portland Trail Blazers,Denver Nuggets,105,106
Golden State Warriors,Denver Nuggets,118,97
Denver Nuggets,Houston Rockets,129,116
Denver Nuggets,Memphis Grizzlies,120,96
Denver Nuggets,New Orleans Pelicans,114,112
Denver Nuggets,Toronto Raptors,121,111
LA Clippers,Denver Nuggets,104,110
Los Angeles Lakers,Denver Nuggets,93,89
Denver Nuggets,New York Knicks,113,97
Utah Jazz,Denver Nuggets,127,120
Denver Nuggets,Brooklyn Nets,119,125
Charlotte Hornets,Denver Nuggets,112,117
Minnesota Timberwolves,Denver Nuggets,103,114
Detroit Pistons,Denver Nuggets,91,104
Portland Trail Blazers,Denver Nuggets,132,116
