Home Team,Away Team,Home Score,Away Score
Portland Trail Blazers,Utah Jazz,100,120
Utah Jazz,Minnesota Timberwolves,111,116
Oklahoma City Thunder,Utah Jazz,109,110
Utah Jazz,Phoenix Suns,95,106
Utah Jazz,LA Clippers,106,100
San Antonio Spurs,Utah Jazz,109,130
Brooklyn Nets,Utah Jazz,130,96
New York Knicks,Utah Jazz,112,100
Milwaukee Bucks,Utah Jazz,118,131
Detroit Pistons,Utah Jazz,86,96
Cleveland Cavaliers,Utah Jazz,87,117
Utah Jazz,Atlanta Hawks,116,92
Denver Nuggets,Utah Jazz,105,109
Utah Jazz,New Orleans Pelicans,118,102
Utah Jazz,New Orleans Pelicans,129,118
Utah Jazz,Golden State Warriors,127,108
Utah Jazz,New York Knicks,108,94
Utah Jazz,Dallas Mavericks,116,104
Utah Jazz,Dallas Mavericks,120,101
Denver Nuggets,Utah Jazz,128,117
Utah Jazz,Detroit Pistons,117,105
Atlanta Hawks,Utah Jazz,91,112
Charlotte Hornets,Utah Jazz,121,138
Indiana Pacers,Utah Jazz,95,103
Utah Jazz,Boston Celtics,122,108
Utah Jazz,Milwaukee Bucks,129,115
Utah Jazz,Miami Heat,112,94
Utah Jazz,Philadelphia 76ers,134,123
LA Clippers,Utah Jazz,96,114
LA Clippers,Utah Jazz,116,112
Utah Jazz,Charlotte Hornets,132,110
Utah Jazz,Los Angeles Lakers,114,89
Miami Heat,Utah Jazz,124,116
Orlando Magic,Utah Jazz,109,124
New Orleans Pelicans,Utah Jazz,129,124
Philadelphia 76ers,Utah Jazz,131,123
Utah Jazz,Houston Rockets,114,99
Golden State Warriors,Utah Jazz,131,119
Boston Celtics,Utah Jazz,109,117
Washington Wizards,Utah Jazz,131,122
Toronto Raptors,Utah Jazz,112,115
Chicago Bulls,Utah Jazz,95,120
Utah Jazz,Brooklyn Nets,118,88
Utah Jazz,Memphis Grizzlies,117,114
Utah Jazz,Memphis Grizzlies,126,110
Utah Jazz,Cleveland Cavaliers,114,75
Memphis Grizzlies,Utah Jazz,107,111
Utah Jazz,Chicago Bulls,113,106
Utah Jazz,Orlando Magic,137,91
Dallas Mavericks,Utah Jazz,111,103
Phoenix Suns,Utah Jazz,117,113
Utah Jazz,Portland Trail Blazers,122,103
Utah Jazz,Sacramento Kings,128,112
Utah Jazz,Washington Wizards,121,125
Utah Jazz,Oklahoma City Thunder,106,96
Utah Jazz,Indiana Pacers,119,111
Los Angeles Lakers,Utah Jazz,127,115
Los Angeles Lakers,Utah Jazz,97,111
Houston Rockets,Utah Jazz,89,112
Utah Jazz,Minnesota Timberwolves,96,101
Minnesota Timberwolves,Utah Jazz,105,104
Sacramento Kings,Utah Jazz,105,154
Phoenix Suns,Utah Jazz,121,100
Utah Jazz,Toronto Raptors,106,102
Utah Jazz,San Antonio Spurs,110,99
Utah Jazz,San Antonio Spurs,126,94
Utah Jazz,Denver Nuggets,127,120
Utah Jazz,Houston Rockets,124,116
Golden State Warriors,Utah Jazz,119,116
Utah Jazz,Portland Trail Blazers,98,105
Oklahoma City Thunder,Utah Jazz,93,109
Sacramento Kings,Utah Jazz,99,121
