Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 16:00,Amway Center,Orlando Magic,Miami Heat,104,101
1,19/10/2018 16:00,Amway Center,Orlando Magic,Charlotte Hornets,88,120
1,20/10/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,116,115
1,22/10/2018 16:30,TD Garden,Boston Celtics,Orlando Magic,90,93
1,25/10/2018 16:00,Amway Center,Orlando Magic,Portland Trail Blazers,114,128
2,27/10/2018 17:30,Fiserv Forum,Milwaukee Bucks,Orlando Magic,113,91
2,30/10/2018 16:00,Amway Center,Orlando Magic,Sacramento Kings,99,107
3,02/11/2018 16:00,Amway Center,Orlando Magic,LA Clippers,95,120
3,04/11/2018 16:00,AT&T Center,San Antonio Spurs,Orlando Magic,110,117
3,05/11/2018 16:00,Amway Center,Orlando Magic,Cleveland Cavaliers,102,100
3,07/11/2018 16:00,Amway Center,Orlando Magic,Detroit Pistons,96,103
4,09/11/2018 16:00,Amway Center,Orlando Magic,Washington Wizards,117,108
4,11/11/2018 16:30,Madison Square Garden,New York Knicks,Orlando Magic,89,115
4,12/11/2018 16:00,Capital One Arena,Washington Wizards,Orlando Magic,117,109
4,14/11/2018 16:00,Amway Center,Orlando Magic,Philadelphia 76ers,111,106
5,17/11/2018 16:00,Amway Center,Orlando Magic,Los Angeles Lakers,130,117
5,18/11/2018 15:00,Amway Center,Orlando Magic,New York Knicks,131,117
5,20/11/2018 16:00,Amway Center,Orlando Magic,Toronto Raptors,91,93
6,23/11/2018 18:00,Pepsi Center,Denver Nuggets,Orlando Magic,112,87
6,25/11/2018 12:30,Staples Center,Los Angeles Lakers,Orlando Magic,104,108
6,26/11/2018 19:30,ORACLE Arena,Golden State Warriors,Orlando Magic,116,110
6,28/11/2018 19:00,Moda Center,Portland Trail Blazers,Orlando Magic,115,112
7,30/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Orlando Magic,85,99
7,04/12/2018 16:30,American Airlines Arena,Miami Heat,Orlando Magic,90,105
7,05/12/2018 16:00,Amway Center,Orlando Magic,Denver Nuggets,118,124
8,07/12/2018 16:00,Amway Center,Orlando Magic,Indiana Pacers,90,112
8,10/12/2018 17:30,American Airlines Center,Dallas Mavericks,Orlando Magic,101,76
9,13/12/2018 18:30,Arena Ciudad de Mexico,Orlando Magic,Chicago Bulls,97,91
9,15/12/2018 14:00,Arena Ciudad de Mexico,Orlando Magic,Utah Jazz,96,89
9,19/12/2018 16:00,Amway Center,Orlando Magic,San Antonio Spurs,90,129
10,21/12/2018 17:00,United Center,Chicago Bulls,Orlando Magic,90,80
10,23/12/2018 15:00,Amway Center,Orlando Magic,Miami Heat,91,115
10,26/12/2018 16:00,Amway Center,Orlando Magic,Phoenix Suns,120,122
11,28/12/2018 16:00,Amway Center,Orlando Magic,Toronto Raptors,116,87
11,30/12/2018 12:30,Amway Center,Orlando Magic,Detroit Pistons,109,107
11,31/12/2018 15:00,Spectrum Center,Charlotte Hornets,Orlando Magic,125,100
11,02/01/2019 17:00,United Center,Chicago Bulls,Orlando Magic,84,112
12,04/01/2019 17:00,Target Center,Minnesota Timberwolves,Orlando Magic,120,103
12,06/01/2019 12:30,Staples Center,LA Clippers,Orlando Magic,106,96
12,07/01/2019 19:00,Golden 1 Center,Sacramento Kings,Orlando Magic,111,95
12,09/01/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Orlando Magic,106,93
13,12/01/2019 16:00,Amway Center,Orlando Magic,Boston Celtics,105,103
13,13/01/2019 15:00,Amway Center,Orlando Magic,Houston Rockets,116,109
13,16/01/2019 16:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,120,115
